Id,Repository URL,Name,Description,Documentation URL,Category,Core,Git ref,extension.json URL
signatories,https://github.com/open-contracting/ocds_contract_signatories_extension,ocds_contract_signatories,Adds an array of OrganizationReference's to the contract section OCDS to support explicit declaration of the signatories for a contract.,https://github.com/open-contracting/ocds_contract_signatories_extension,contract,no,master,https://raw.githubusercontent.com/open-contracting/ocds_contract_signatories_extension/master/extension.json
documentation,https://github.com/open-contracting/ocds_documentation_extension,Document Details,"This extension captures additional details about documentation, as identified in consultation for the OCDS PPP extension. ",https://github.com/open-contracting/ocds_documentation_extension,ppp,no,master,https://raw.githubusercontent.com/open-contracting/ocds_documentation_extension/master/extension.json
transactions_relatedmilestones,https://github.com/open-contracting/ocds_transactions_relatedMilestone_extension,ocds_transactions_relatedMilestone_extension,Adds a relatedImplementationMilestone property to the transactions object so that disbursements can be linked with their associated milestone.,https://github.com/open-contracting/ocds_transactions_relatedMilestone_extension,ppp,no,master,https://raw.githubusercontent.com/open-contracting/ocds_transactions_relatedMilestone_extension/master/extension.json
extendscontractid,https://github.com/open-contracting/ocds_extendsContractID_extension,Contract extensions as contracts: extendsContractID,"Under some procurement rules and processes, to extend the duration or value of a contract, or to make other substantial alterations, requires a new contract to be signed. This extension allows these relationships between two or more contracts in the same contracting process to be made explicit.",https://github.com/open-contracting/ocds_extendsContractID_extension,contract,no,master,https://raw.githubusercontent.com/open-contracting/ocds_extendsContractID_extension/master/extension.json
bids,https://github.com/open-contracting/ocds_bid_extension,Bid statistics and details,"Allowing bid statistics, and detailed bid information to be represented.",https://github.com/open-contracting/ocds_bid_extension,bids,yes,v1.1.1,https://raw.githubusercontent.com/open-contracting/ocds_bid_extension/v1.1.1/extension.json
requirements,https://github.com/open-contracting/ocds_requirements_extension,Requirements,https://github.com/open-contracting/standard/issues/223,https://github.com/open-contracting/ocds_requirements_extension,tender,no,master,https://raw.githubusercontent.com/open-contracting/ocds_requirements_extension/master/extension.json
enquiries,https://github.com/open-contracting/ocds_enquiry_extension,Enquiries,"The enquiries extension can be used to record questions raised during a contracting process, and the answers provided.",https://github.com/open-contracting/ocds_enquiry_extension,tender,yes,v1.1.1,https://raw.githubusercontent.com/open-contracting/ocds_enquiry_extension/v1.1.1/extension.json
tariffs,https://github.com/open-contracting/ocds_tariffs_extension,ocds_tariffs_extension,The tariffs extension introduces support for disclosure of structured data on the user fees associated with a public private partnership project.,https://github.com/open-contracting/ocds_tariffs_extension,ppp,no,master,https://raw.githubusercontent.com/open-contracting/ocds_tariffs_extension/master/extension.json
participation_fee,https://github.com/open-contracting/ocds_participationFee_extension,Participation Fees,"Where a tender process involves payment of fees to access documents, submit a proposal, or be awarded a contract, this extension can be used to provide fee details.",https://github.com/open-contracting/ocds_participationFee_extension,tender,yes,v1.1.1,https://raw.githubusercontent.com/open-contracting/ocds_participationFee_extension/v1.1.1/extension.json
performance_failures,https://github.com/open-contracting/ocds_performance_failures,Performance Failures Extension,Adds fields to the implementation section to allow disclosure of an array of contracting performance failures. Based on the performance failures reporting table defined in the World Bank Framework for Disclosure in PPPs.,https://github.com/open-contracting/ocds_performance_failures,implementation,no,master,https://raw.githubusercontent.com/open-contracting/ocds_performance_failures/master/extension.json
additionalcontactpoint,https://github.com/open-contracting/ocds_additionalContactPoints_extension,Additional Contact Points,For including extra contact points on each organization. Particularly used when each contact point deals only in a particular language or group of languages.,https://github.com/open-contracting/ocds_additionalContactPoints_extension,parties,no,master,https://raw.githubusercontent.com/open-contracting/ocds_additionalContactPoints_extension/master/extension.json
process_title,https://github.com/open-contracting/ocds_process_title_extension,Process level title and description,"For providing overall process titles and descriptions, often to give a free-text summary of the contracting process as a whole.",https://github.com/open-contracting/ocds_process_title_extension,release,yes,v1.1.1,https://raw.githubusercontent.com/open-contracting/ocds_process_title_extension/v1.1.1/extension.json
location,https://github.com/open-contracting/ocds_location_extension,Location,Communicates the location of proposed or executed contract delivery.,https://github.com/open-contracting/ocds_location_extension,item,yes,v1.1.1,https://raw.githubusercontent.com/open-contracting/ocds_location_extension/v1.1.1/extension.json
risk_allocation,https://github.com/open-contracting/ocds-riskAllocation-extension,ocds-riskAllocation-extension,Draft risk allocation extension for ppp extension,https://github.com/open-contracting/ocds-riskAllocation-extension,ppp,no,master,https://raw.githubusercontent.com/open-contracting/ocds-riskAllocation-extension/master/extension.json
qualification,https://github.com/open-contracting/ocds_qualification_extension,ocds_qualification_extension,Draft extension for PPPs to add a qualification section between planning and tender. Currently this is another tender object. See discussion in https://github.com/open-contracting/public-private-partnerships/issues/36,https://github.com/open-contracting/ocds_qualification_extension,ppp,no,master,https://raw.githubusercontent.com/open-contracting/ocds_qualification_extension/master/extension.json
partyscale,https://github.com/open-contracting/ocds_partyDetails_scale_extension,Party Scale,"For classifying organizations as micro, sme or large.",https://github.com/open-contracting/ocds_partyDetails_scale_extension,partyDetail,no,master,https://raw.githubusercontent.com/open-contracting/ocds_partyDetails_scale_extension/master/extension.json
lots,https://github.com/open-contracting/ocds_lots_extension,Lots,"A tender process may be divided into lots, where bidders can bid on one or more lots. Details of each lot can be provided here. Items, documents and other features can then reference the lot they are related to using relatedLot. Where no relatedLot identifier is given, the values should be interpreted as applicable to the whole tender.",https://github.com/open-contracting/ocds_lots_extension,tender,yes,v1.1.1,https://raw.githubusercontent.com/open-contracting/ocds_lots_extension/v1.1.1/extension.json
contract_suppliers,https://github.com/open-contracting/ocds_contract_suppliers_extension,Contract suppliers,To allow explicit declaration of suppliers within the contracts block. Used when a single award to multiple suppliers results in multiple contracts to a sub-set of those awarded suppliers.,https://github.com/open-contracting/ocds_contract_suppliers_extension,contract,no,master,https://raw.githubusercontent.com/open-contracting/ocds_contract_suppliers_extension/master/extension.json
milestone_documents,https://github.com/open-contracting/ocds_milestone_documents_extension,Milestone documents,Documents at the milestone level were deprecated in OCDS 1.1. This extension re-introduces the ability to attach documents to each individual milestone.,https://github.com/open-contracting/ocds_milestone_documents_extension,milestones,yes,v1.1.1,https://raw.githubusercontent.com/open-contracting/ocds_milestone_documents_extension/v1.1.1/extension.json
charges,https://github.com/open-contracting/ocds_charges_extension,Charges,The charges extension is used to record details of the **total** charges that are estimated or applied to users or government during the operation of a Public Private Partnership contract.,https://github.com/open-contracting/ocds_charges_extension,ppp,no,master,https://raw.githubusercontent.com/open-contracting/ocds_charges_extension/master/extension.json
shareholders,https://github.com/open-contracting/ocds-shareholders-extension,ocds-shareholders-extension,The shareholders extension can be used to attach company ownership details to each party in the parties array.,https://github.com/open-contracting/ocds-shareholders-extension,ppp,no,master,https://raw.githubusercontent.com/open-contracting/ocds-shareholders-extension/master/extension.json
budgets_and_projects,https://github.com/open-contracting/ocds_budget_projects_extension,Budget and Project Updates,"This extension introduces a projects block in 'planning' which can be used to give total project value, and provide project-level information, alongside existing fields in the planning/budget section for details of the budget allocated to this specific contracting process.",https://github.com/open-contracting/ocds_budget_projects_extension/,ppp,no,master,https://raw.githubusercontent.com/open-contracting/ocds_budget_projects_extension/master/extension.json
metrics,https://github.com/open-contracting/ocds_metrics_extension,Metrics,"The metrics extension supports publication of forecasts (planning stage), targets (tender stage), agreed performance targets (award and contract stage) and results (implementation stage).",https://github.com/open-contracting/ocds_metrics_extension,ppp,no,master,https://raw.githubusercontent.com/open-contracting/ocds_metrics_extension/master/extension.json
ppp,https://github.com/open-contracting/public-private-partnerships,OCDS for PPPs (Alpha),This extension collects together a number of schema additions required by the OCDS for PPPs implementation profile. Some of these may later be factored out into their own extensions.,http://standard.open-contracting.org/profiles/ppp/latest/en/,ppp,no,master,https://raw.githubusercontent.com/open-contracting/public-private-partnerships/master/extension.json
buyer_per_contract,https://github.com/open-contracting/ocds_multiple_buyers_extension,Multiple buyers - contract level,"In some cases, a single contracting process involves multiple buyers (for example, a framework that different organizations can buy from). In these cases, the multiple buyers extension can be used to specify a distinct buyer for each contract. ",https://github.com/open-contracting/ocds_multiple_buyers_extension,contract,no,master,https://raw.githubusercontent.com/open-contracting/ocds_multiple_buyers_extension/master/extension.json
finance,https://github.com/open-contracting/ocds_finance_extension,Financing,"Capturing details of the finance arranged for a contract, including loans, grants and other finance sources.",https://github.com/open-contracting/ocds_finance_extension,ppp,no,master,https://raw.githubusercontent.com/open-contracting/ocds_finance_extension/master/extension.json
budget_breakdown,https://github.com/open-contracting/ocds_budget_breakdown_extension,Budget Breakdown,Providing a breakdown of budgets by year and source,https://github.com/open-contracting/ocds_budget_breakdown_extension,ppp,no,master,https://raw.githubusercontent.com/open-contracting/ocds_budget_breakdown_extension/master/extension.json
